ProviderSymbol,ProviderName,ProviderGUID,ChannelSymbol,ChannelName,QueryPath,Query,TargetGroup,,,
DC_AL_CVF_EVENTS,Domain Controllers-Credential Validation-Failure,{57EE544A-1408-4D96-80D2-C9E0F8DA51F2},DC_AL_CVF_DISABLEDEXPIREDLOCKEDOUT,Domain Controllers-Credential Validation-Failure/Validation Failure Disabled Expired Locked Out,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4768)]] and *[EventData[Data[@Name='Status']='0x12']]</Select><Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4771)]] and *[EventData[Data[@Name='Status']='0x12']]</Select><Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4776)]] and *[EventData[Data[@Name='Status']='0xC0000072']]</Select><Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4776)]] and *[EventData[Data[@Name='Status']='0xC0000234']]</Select><Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4776)]] and *[EventData[Data[@Name='Status']='0xc0000193']]</Select><Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4776)]] and *[EventData[Data[@Name='Status']='0xC000006F']]</Select>",Domain Controllers,,,
DC_AL_CVF_EVENTS,Domain Controllers-Credential Validation-Failure,{57EE544A-1408-4D96-80D2-C9E0F8DA51F2},DC_AL_CVF_INVALIDPASSWORD,Domain Controllers-Credential Validation-Failure/Validation Failure Invalid Password,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4771)]] and *[EventData[Data[@Name='Status']='0x18']]</Select><Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4776)]] and *[EventData[Data[@Name='Status']='0xC000006A']]</Select>",Domain Controllers,,,
DC_AL_CVF_EVENTS,Domain Controllers-Credential Validation-Failure,{57EE544A-1408-4D96-80D2-C9E0F8DA51F2},DC_AL_CVF_INVALIDUSER,Domain Controllers-Credential Validation-Failure/Validation Failure Invalid Username,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4768)]] and *[EventData[Data[@Name='Status']='0x6']]</Select><Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4776)]] and *[EventData[Data[@Name='Status']='0xC0000064']]</Select>",Domain Controllers,,,
DC_AL_CVF_EVENTS,Domain Controllers-Credential Validation-Failure,{57EE544A-1408-4D96-80D2-C9E0F8DA51F2},DC_AL_CVF_PASSWORDEXPIRED,Domain Controllers-Credential Validation-Failure/Validation Failure Password Expired,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4768)]] and *[EventData[Data[@Name='Status']='0x17']]</Select><Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4776)]] and *[EventData[Data[@Name='Status']='0xC0000071']]</Select>",Domain Controllers,,,
DC_AL_CVF_EVENTS,Domain Controllers-Credential Validation-Failure,{57EE544A-1408-4D96-80D2-C9E0F8DA51F2},DC_AL_CVF_RESTRICTIONS,Domain Controllers-Credential Validation-Failure/Validation Failure Workstation Restrictions,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4768)]] and *[EventData[Data[@Name='Status']='0xC']]</Select><Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4776)]] and *[EventData[Data[@Name='Status']='0xC0000070']]</Select>",Domain Controllers,Credential Manager credentials were restored from a backup.,,
DC_AL_CVS_EVENTS,Domain Controllers-Credential Validation-Successful,{23A75316-1AE6-4B6C-9417-C3C7DD6BB730},DC_AL_CVS_LOGON,Domain Controllers-Credential Validation-Successful/Validation Successful,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4768)]] and *[EventData[Data[@Name='Status']='0x0']]</Select><Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4776)]] and *[EventData[Data[@Name='Status']='0x0']]</Select>",Domain Controllers,Credential Manager credentials were backed up.,,
DC_AM_CM_EVENTS,Domain Controllers-Object Management-Computer,{FF41F360-52E6-4513-8D87-77B85A4FE6A1},DC_AM_CM_CHANGED,Domain Controllers-Object Management-Computer/Computer Changed,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4742)]]</Select>",Domain Controllers,,,
DC_AM_CM_EVENTS,Domain Controllers-Object Management-Computer,{FF41F360-52E6-4513-8D87-77B85A4FE6A1},DC_AM_CM_CREATED,Domain Controllers-Object Management-Computer/Computer Created,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4741)]]</Select>",Domain Controllers,,,
DC_AM_CM_EVENTS,Domain Controllers-Object Management-Computer,{FF41F360-52E6-4513-8D87-77B85A4FE6A1},DC_AM_CM_DELETED,Domain Controllers-Object Management-Computer/Computer Deleted,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4743)]]</Select>",Domain Controllers,,,
DC_AM_DGM_EVENTS,Domain Controllers-Object Management-Distribution Group,{E0EC04B7-EF45-4AF0-8B4A-C69189688E64},DC_AM_DGM_CREATED,Domain Controllers-Object Management-Distribution Group/Distribution Group Created,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4744)]]</Select><Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4749)]]</Select><Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4759)]]</Select>",Domain Controllers,,,
DC_AM_DGM_EVENTS,Domain Controllers-Object Management-Distribution Group,{E0EC04B7-EF45-4AF0-8B4A-C69189688E64},DC_AM_DGM_DELETED,Domain Controllers-Object Management-Distribution Group/Distribution Group Deleted,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4748)]]</Select><Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4753)]]</Select><Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4763)]]</Select>",Domain Controllers,,,
DC_AM_DGM_EVENTS,Domain Controllers-Object Management-Distribution Group,{E0EC04B7-EF45-4AF0-8B4A-C69189688E64},DC_AM_DGM_MEMBERADDED,Domain Controllers-Object Management-Distribution Group/Distribution Group Member Added,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4746)]]</Select><Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4751)]]</Select><Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4761)]]</Select>",Domain Controllers,,,
DC_AM_DGM_EVENTS,Domain Controllers-Object Management-Distribution Group,{E0EC04B7-EF45-4AF0-8B4A-C69189688E64},DC_AM_DGM_MEMBERREMOVED,Domain Controllers-Object Management-Distribution Group/Distribution Group Member Removed,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4747)]]</Select><Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4752)]]</Select><Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4762)]]</Select>",Domain Controllers,,,
DC_AM_DGM_EVENTS,Domain Controllers-Object Management-Distribution Group,{E0EC04B7-EF45-4AF0-8B4A-C69189688E64},DC_AM_DGM_MEMBERSHIPCHANGED,Domain Controllers-Object Management-Distribution Group/Distribution Group Member Changed,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4745)]]</Select><Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4750)]]</Select><Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4760)]]</Select>",Domain Controllers,,,
DC_AM_OAM_EVENTS,Domain Controllers-Object Management-Other Account Management,{6DC62704-1194-4BFC-8D75-F1BC18CCA81C},DC_AM_OAM_HASH,Domain Controllers-Object Management-Other Account Management/Password Hash Accessed,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4782)]]</Select>",Domain Controllers,,,
DC_AM_OAM_EVENTS,Domain Controllers-Object Management-Other Account Management,{6DC62704-1194-4BFC-8D75-F1BC18CCA81C},DC_AM_OAM_PWDPOLICY,Domain Controllers-Object Management-Other Account Management/Password Policy Checking API Called,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4793)]]</Select>",Domain Controllers,,,
DC_AM_SGM_EVENTS,Domain Controllers-Object Management-Security Group,{F0EC04B7-EF45-4AF0-8B4A-C69189688E64},DC_AM_SGM_CREATED,Domain Controllers-Object Management-Security Group/Security Group Created,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4727)]]</Select><Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4731)]]</Select><Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4754)]]</Select>",Domain Controllers,,,
DC_AM_SGM_EVENTS,Domain Controllers-Object Management-Security Group,{F0EC04B7-EF45-4AF0-8B4A-C69189688E64},DC_AM_SGM_DELETED,Domain Controllers-Object Management-Security Group/Security Group Deleted,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4730)]]</Select><Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4734)]]</Select><Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4758)]]</Select>",Domain Controllers,,,
DC_AM_SGM_EVENTS,Domain Controllers-Object Management-Security Group,{F0EC04B7-EF45-4AF0-8B4A-C69189688E64},DC_AM_SGM_MEMBERADDED,Domain Controllers-Object Management-Security Group/Security Group Member Added,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4728)]]</Select><Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4732)]]</Select><Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4756)]]</Select>",Domain Controllers,,,
DC_AM_SGM_EVENTS,Domain Controllers-Object Management-Security Group,{F0EC04B7-EF45-4AF0-8B4A-C69189688E64},DC_AM_SGM_MEMBERREMOVED,Domain Controllers-Object Management-Security Group/Security Group Member Removed,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4729)]]</Select><Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4733)]]</Select><Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4757)]]</Select>",Domain Controllers,,,
DC_AM_SGM_EVENTS,Domain Controllers-Object Management-Security Group,{F0EC04B7-EF45-4AF0-8B4A-C69189688E64},DC_AM_SGM_MEMBERSHIPCHANGED,Domain Controllers-Object Management-Security Group/Security Group Member Changed,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4735)]]</Select><Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4737)]]</Select><Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4755)]]</Select>",Domain Controllers,,,
DC_AM_SGM_EVENTS,Domain Controllers-Object Management-Security Group,{F0EC04B7-EF45-4AF0-8B4A-C69189688E64},DC_AM_SGM_TYPECHANGED,Domain Controllers-Object Management-Security Group/Security Group Type Changed,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4764)]]</Select>",Domain Controllers,,,
DC_AM_UM1_EVENTS,Domain Controllers-Object Management-User1,{66A20C87-CD40-4464-9199-87A81CD03C73},DC_AM_UM1_CHANGED,Domain Controllers-Object Management-User1/User Changed,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4738)]]</Select>",Domain Controllers,A user account was changed.,,
DC_AM_UM1_EVENTS,Domain Controllers-Object Management-User1,{66A20C87-CD40-4464-9199-87A81CD03C73},DC_AM_UM1_CREATED,Domain Controllers-Object Management-User1/User Created,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4720)]]</Select>",Domain Controllers,A user account was created.,,
DC_AM_UM1_EVENTS,Domain Controllers-Object Management-User1,{66A20C87-CD40-4464-9199-87A81CD03C73},DC_AM_UM1_DELETED,Domain Controllers-Object Management-User1/User Deleted,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4726)]]</Select>",Domain Controllers,A user account was deleted.,,
DC_AM_UM1_EVENTS,Domain Controllers-Object Management-User1,{66A20C87-CD40-4464-9199-87A81CD03C73},DC_AM_UM1_DISABLED,Domain Controllers-Object Management-User1/User Disabled,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4725)]]</Select>",Domain Controllers,A user account was disabled.,,
DC_AM_UM1_EVENTS,Domain Controllers-Object Management-User1,{66A20C87-CD40-4464-9199-87A81CD03C73},DC_AM_UM1_ENABLED,Domain Controllers-Object Management-User1/User Enabled,Security,"<Select Path=""Security"">*[System[Provider[@Name='Microsoft-Windows-Security-Auditing'] and (EventID=4722)]]</Select>",Domain Controllers,A user account was enabled.,,
